#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Justin Hawkins,MIN,10,16.6,11.3,19.4,0.585,3.3,8.4,0.39299999999999996,7.2,7.5,0.96,4.2,3.3,2.4,7.2,9.5,3.9,2.4,0.6,36.7,2012,Belarusian BPL
2,Vladimir Krysevich,MIN,1,29.4,14.2,24.3,0.583,0.0,0.0,0.0,4.0,4.0,1.0,4.0,2.0,0.0,12.1,12.1,0.0,0.0,0.0,32.4,2012,Belarusian BPL
3,Ronaldas Rutkauskas,TM2,29,30.5,12.6,22.8,0.551,0.5,2.4,0.209,5.1,9.0,0.562,4.9,3.4,6.7,8.5,15.2,2.3,1.5,0.7,31.2,2012,Belarusian BPL
4,Justin Knox,MIN,29,21.1,12.3,19.2,0.638,0.8,1.6,0.5,5.2,6.6,0.7879999999999999,4.7,5.8,3.7,9.6,13.4,1.1,2.3,1.5,31.0,2012,Belarusian BPL
5,Aliaksei Lashkevich,MIN,30,18.8,12.7,19.9,0.638,0.0,0.5,0.0,4.8,6.5,0.74,3.0,4.3,6.6,8.1,14.7,2.4,1.4,0.8,30.2,2012,Belarusian BPL
6,DeVon Hardin,MIN,7,12.8,12.3,20.2,0.611,0.0,0.0,0.0,5.1,8.4,0.6,5.1,6.7,7.3,12.9,20.2,0.0,2.2,1.7,29.7,2012,Belarusian BPL
7,Aleksey Pogireichik,TM2,2,2.5,9.9,39.6,0.25,0.0,0.0,0.0,9.9,19.8,0.5,0.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,29.7,2012,Belarusian BPL
8,Vadim Matyukevych,G93,22,24.7,10.3,17.7,0.584,0.0,0.0,0.0,8.9,11.3,0.7909999999999999,3.9,4.5,3.7,8.2,11.9,1.2,1.5,3.2,29.6,2012,Belarusian BPL
9,Kiril Sitnik,OSI,32,29.9,10.4,20.3,0.513,2.0,6.1,0.319,4.4,5.8,0.759,3.6,3.7,2.2,5.7,7.9,4.3,3.0,0.2,27.6,2012,Belarusian BPL
10,Aleksander Fomin,MIN,16,19.5,11.3,23.3,0.48700000000000004,0.6,4.5,0.133,4.1,4.8,0.8440000000000001,2.0,6.0,3.0,7.1,10.1,2.3,1.4,0.3,27.4,2012,Belarusian BPL
11,Aleh Kojenets,MIN,28,19.4,11.1,18.8,0.591,0.0,0.1,0.0,4.6,5.7,0.815,4.5,6.3,4.4,10.2,14.6,1.7,0.6,0.4,26.8,2012,Belarusian BPL
12,Yauheni Beliankou,TM2,1,14.3,9.9,16.5,0.6,6.6,9.9,0.667,0.0,0.0,0.0,3.3,6.6,0.0,3.3,3.3,3.3,0.0,0.0,26.3,2012,Belarusian BPL
13,Yauheni Ivanou,G93,33,19.7,9.3,17.5,0.528,2.4,6.1,0.38799999999999996,3.6,4.8,0.762,3.9,5.0,3.3,8.1,11.5,3.2,3.2,0.2,25.7,2012,Belarusian BPL
14,Pavel Shuleyko,G93,20,13.4,10.2,17.0,0.6,0.8,4.7,0.16,3.4,5.1,0.667,3.4,4.5,4.5,6.0,10.6,5.7,3.6,1.7,25.3,2012,Belarusian BPL
15,Denis Yarets,OSI,11,18.9,7.2,13.8,0.519,4.5,12.2,0.37,1.6,2.7,0.6,5.3,5.6,1.9,5.1,6.9,4.3,1.6,0.0,25.3,2012,Belarusian BPL
16,Bobby Maze,MIN,19,26.6,9.8,17.8,0.5489999999999999,1.3,3.4,0.37799999999999995,3.7,5.5,0.667,3.7,3.9,1.8,5.1,6.9,8.2,2.7,0.5,24.7,2012,Belarusian BPL
17,Artem Malkov,RUB,35,24.1,9.2,21.8,0.424,1.4,4.7,0.289,4.4,6.5,0.675,4.0,2.2,2.3,2.6,4.9,3.9,3.1,0.2,24.4,2012,Belarusian BPL
18,Andrei Navoichyk,G93,21,10.8,9.2,19.5,0.47200000000000003,2.4,7.9,0.306,1.5,2.2,0.7,3.5,4.4,5.3,6.1,11.4,2.9,1.8,0.2,23.7,2012,Belarusian BPL
19,Yury Mishukov,OSI,23,28.9,9.2,18.5,0.498,1.6,4.6,0.33799999999999997,3.7,5.3,0.693,2.9,3.9,4.4,7.9,12.3,1.7,1.6,1.8,23.7,2012,Belarusian BPL
20,Denis Minakov,OSI,2,4.0,5.9,5.9,1.0,0.0,0.0,0.0,11.8,11.8,1.0,0.0,11.8,0.0,0.0,0.0,0.0,5.9,0.0,23.7,2012,Belarusian BPL
21,Justas Sinica,MIN,17,21.2,7.7,16.7,0.465,4.3,10.2,0.418,3.6,4.1,0.875,1.4,3.5,2.3,5.6,7.9,4.4,1.4,0.8,23.4,2012,Belarusian BPL
22,Dimitri Sivalko,RUB,34,23.3,8.1,19.9,0.405,3.6,10.0,0.364,2.9,3.9,0.75,2.7,4.7,3.0,7.3,10.4,1.3,2.7,0.8,23.3,2012,Belarusian BPL
23,Stanislav Ovdeenko,G93,23,22.8,7.9,18.0,0.442,3.4,8.8,0.381,3.6,4.4,0.833,3.2,4.5,2.6,5.2,7.8,2.6,3.0,0.3,23.3,2012,Belarusian BPL
24,Aliaksandr Kudrautsau,MIN,30,24.0,7.4,14.0,0.526,2.4,6.4,0.375,5.2,6.2,0.848,3.3,5.2,1.6,4.7,6.3,8.1,3.1,0.1,23.1,2012,Belarusian BPL
25,Valentin Ignatchik,TM2,26,31.6,7.6,18.5,0.414,2.7,8.0,0.336,3.6,5.1,0.706,5.3,3.5,1.0,4.2,5.2,4.2,1.7,0.2,23.1,2012,Belarusian BPL
26,Aliaksei Trastsinetski,MIN,28,20.9,8.6,17.2,0.5,2.4,6.1,0.387,2.1,2.5,0.8390000000000001,3.4,3.5,2.8,4.9,7.7,4.8,2.5,0.2,22.9,2012,Belarusian BPL
27,Anatoli Svirydov,OSI,34,23.6,7.3,15.5,0.47200000000000003,4.1,10.0,0.40700000000000003,2.9,3.8,0.758,2.8,5.0,1.7,5.1,6.8,2.8,1.5,0.1,22.8,2012,Belarusian BPL
28,Kanstantin Yafremov,G93,32,25.7,9.3,17.0,0.545,1.5,4.5,0.32899999999999996,2.4,4.5,0.539,2.3,3.2,3.0,7.3,10.2,3.4,2.8,0.8,22.7,2012,Belarusian BPL
29,Aliaksandr Semianiuk,MIN,11,18.3,7.7,16.9,0.456,2.0,5.2,0.381,3.0,5.7,0.522,4.5,3.7,5.0,5.2,10.2,1.7,1.5,4.2,22.3,2012,Belarusian BPL
30,Viktor Ovsepian,RUB,22,23.3,8.6,15.6,0.551,0.3,1.5,0.188,4.0,6.7,0.597,3.9,4.4,4.8,8.9,13.7,2.4,4.3,2.1,21.7,2012,Belarusian BPL
31,Evgeni Sugonyako,IMP,33,29.6,7.2,18.0,0.401,2.0,7.5,0.26899999999999996,4.8,7.1,0.675,4.8,4.2,3.1,5.2,8.3,1.8,1.5,0.2,21.5,2012,Belarusian BPL
32,Ilya Sharipov,OSI,23,23.0,8.9,17.3,0.515,1.7,4.6,0.365,2.0,2.6,0.759,4.1,6.3,4.5,8.8,13.3,2.6,2.1,0.3,21.5,2012,Belarusian BPL
33,Igor Konuyshenko,G93,33,18.5,7.7,14.4,0.536,1.7,5.0,0.33899999999999997,3.9,4.7,0.845,5.0,6.0,2.0,4.1,6.1,3.4,2.8,0.0,21.3,2012,Belarusian BPL
34,Viktar Hubko,OSI,2,2.6,10.6,21.2,0.5,0.0,10.6,0.0,0.0,0.0,0.0,0.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,21.2,2012,Belarusian BPL
35,Siarhei Sapegin,RUB,35,24.6,7.3,17.5,0.41700000000000004,1.7,6.1,0.282,4.6,6.9,0.667,4.5,4.3,1.6,3.8,5.4,3.8,3.2,0.2,21.1,2012,Belarusian BPL
36,Aliaksandr Semianiuk,TM2,16,23.4,8.7,20.5,0.424,0.8,3.8,0.207,2.3,4.3,0.545,4.9,5.5,5.1,10.1,15.2,1.0,0.8,2.0,20.5,2012,Belarusian BPL
37,Sergej Vabischevich,OSI,18,23.2,7.8,19.5,0.401,2.4,8.3,0.28800000000000003,2.4,3.4,0.7,3.3,5.9,1.4,3.6,5.0,5.1,3.0,0.0,20.4,2012,Belarusian BPL
38,Aliaksandr Hrumiantsau,IMP,33,20.1,7.1,14.9,0.474,0.2,1.4,0.15,5.8,7.6,0.764,3.3,4.9,4.6,6.0,10.6,1.7,1.8,1.2,20.3,2012,Belarusian BPL
39,Dzmitry Kuzmin,G93,32,22.6,6.3,15.0,0.41600000000000004,2.3,7.7,0.301,4.0,5.4,0.738,6.8,4.8,2.2,6.8,9.0,11.1,2.9,0.3,19.9,2012,Belarusian BPL
40,Dmitri Akulich,RUB,33,26.4,6.8,15.5,0.439,1.3,4.3,0.295,4.9,8.2,0.595,4.6,3.9,1.6,5.9,7.6,9.3,4.2,0.1,19.7,2012,Belarusian BPL
41,Artsiom Sharamet,TM2,14,8.6,7.5,16.7,0.452,1.2,3.2,0.375,1.6,7.2,0.222,4.4,6.0,6.0,6.4,12.3,0.0,0.8,0.4,19.5,2012,Belarusian BPL
42,Maksim Shustau,TM2,18,34.1,5.6,14.3,0.389,2.9,7.8,0.37799999999999995,5.2,6.9,0.759,4.8,3.5,0.6,4.0,4.6,7.6,2.1,0.0,19.4,2012,Belarusian BPL
43,Dmitri Shilovich,RUB,34,19.3,7.0,14.4,0.48700000000000004,0.9,3.1,0.28600000000000003,3.4,4.5,0.77,3.8,6.9,4.3,6.0,10.3,1.5,2.1,0.3,19.3,2012,Belarusian BPL
44,Vedran Nakic,MIN,12,19.4,4.6,11.4,0.40399999999999997,3.7,10.7,0.34700000000000003,2.0,2.6,0.75,3.7,2.4,2.2,3.7,5.9,4.6,2.0,0.0,19.2,2012,Belarusian BPL
45,Vedran Nakic,TM2,19,25.6,6.7,18.1,0.371,4.2,11.5,0.364,1.6,2.0,0.762,4.8,4.2,1.5,2.4,3.9,3.6,1.4,0.0,19.2,2012,Belarusian BPL
46,Aliaksandr Kuzmitski,IMP,34,26.2,5.9,16.5,0.361,2.6,8.6,0.307,3.7,6.2,0.6,4.3,3.0,3.1,5.4,8.5,1.5,2.1,0.1,19.0,2012,Belarusian BPL
47,Yahor Patupchyk,SOZ,31,32.6,6.8,19.8,0.344,1.8,7.6,0.23600000000000002,3.0,4.7,0.6409999999999999,6.8,3.4,1.9,4.5,6.4,2.3,2.5,0.2,19.0,2012,Belarusian BPL
48,Sergej Vasilevich,G93,25,15.2,7.5,12.6,0.594,0.4,1.4,0.273,3.0,4.2,0.7190000000000001,2.6,4.1,5.4,5.6,11.0,2.0,2.0,2.1,18.9,2012,Belarusian BPL
49,Vladimir Krysevich,TM2,32,25.2,7.2,14.0,0.517,0.0,0.0,0.0,4.2,7.5,0.556,4.7,6.0,6.6,8.1,14.6,1.5,1.0,0.8,18.6,2012,Belarusian BPL
50,Aliaksandr Dziarzhautsau,RUB,17,10.0,6.0,11.7,0.512,1.7,4.3,0.4,3.1,4.9,0.647,5.4,3.7,3.7,4.0,7.7,2.0,1.4,1.1,18.6,2012,Belarusian BPL
51,Siarhei Charykau,OSI,22,35.0,6.8,15.3,0.444,1.2,5.2,0.233,3.7,5.6,0.6629999999999999,4.9,3.6,1.3,3.3,4.6,9.1,3.4,0.1,18.5,2012,Belarusian BPL
52,Yuri Hlebovich,G93,30,16.1,7.3,13.1,0.5579999999999999,0.0,0.0,0.0,3.8,5.4,0.698,5.3,7.7,3.5,9.4,12.8,1.9,2.0,1.0,18.4,2012,Belarusian BPL
53,Julius Hodge,MIN,3,20.9,8.3,9.0,0.917,0.8,0.8,1.0,0.8,3.0,0.25,4.5,3.0,4.5,5.3,9.8,12.1,5.3,0.8,18.1,2012,Belarusian BPL
54,Ilya Sharipov,G93,5,12.5,6.0,13.6,0.43799999999999994,1.7,11.9,0.14300000000000002,2.6,4.3,0.6,8.5,8.5,0.0,11.9,11.9,9.4,6.8,1.7,17.9,2012,Belarusian BPL
55,Andrei Bridges,G93,30,20.4,6.3,13.4,0.473,2.4,7.4,0.326,1.7,2.1,0.8079999999999999,4.1,5.1,2.2,6.3,8.5,2.9,2.3,1.0,17.7,2012,Belarusian BPL
56,Yuriy Ignatiev,IMP,34,16.7,7.3,13.8,0.526,0.0,0.1,0.0,3.0,5.7,0.521,4.5,8.1,5.6,7.5,13.1,0.8,3.1,1.2,17.6,2012,Belarusian BPL
57,Sergey Volk,OSI,11,29.9,6.2,12.8,0.48700000000000004,0.8,4.7,0.179,3.2,4.9,0.655,3.2,4.5,0.2,6.4,6.6,5.5,1.5,0.0,17.5,2012,Belarusian BPL
58,Viachaslau Korzh,G93,34,19.6,5.3,12.5,0.42,1.9,5.7,0.33799999999999997,3.6,4.9,0.727,6.4,5.6,1.0,4.9,5.9,6.5,2.7,0.2,16.9,2012,Belarusian BPL
59,Artem Syrovatko,G93,15,12.9,7.0,12.2,0.574,0.3,0.3,1.0,2.6,5.2,0.5,3.1,11.6,3.9,5.7,9.6,1.0,2.8,1.0,16.8,2012,Belarusian BPL
60,Courtney Eldridge,MIN,11,16.8,6.7,14.2,0.47200000000000003,0.8,2.4,0.33299999999999996,1.6,1.9,0.857,4.6,5.4,0.8,4.8,5.6,8.3,5.6,0.0,16.4,2012,Belarusian BPL
61,Anton Papruha,IMP,31,29.6,5.8,16.0,0.36200000000000004,1.5,4.9,0.309,3.1,4.4,0.701,6.2,4.3,1.3,4.5,5.7,5.2,3.0,0.0,16.3,2012,Belarusian BPL
62,Igor Drobyshevskiy,SOZ,30,33.1,7.0,15.2,0.461,0.0,0.2,0.0,2.3,3.4,0.6709999999999999,5.3,4.0,3.2,6.1,9.3,0.8,1.3,0.4,16.3,2012,Belarusian BPL
63,Marsel Ovsepian,RUB,32,15.8,6.7,11.6,0.5820000000000001,0.0,0.2,0.0,2.7,5.4,0.491,2.7,6.9,6.5,8.1,14.6,1.9,1.6,0.5,16.1,2012,Belarusian BPL
64,Vladimir Sharko,MIN,23,15.1,5.8,14.2,0.408,3.6,11.2,0.321,0.6,0.8,0.667,2.9,5.7,1.0,5.9,6.9,3.6,3.7,0.1,16.0,2012,Belarusian BPL
65,Dmitriy Zaitsev,OSI,26,17.8,6.6,13.8,0.47700000000000004,0.1,0.9,0.111,2.5,3.9,0.649,3.1,4.3,3.4,7.9,11.2,4.2,3.2,0.5,16.0,2012,Belarusian BPL
66,Genniadiy Zakhar,IMP,34,32.2,6.2,16.2,0.38299999999999995,0.4,2.5,0.16899999999999998,3.0,4.2,0.72,4.5,3.4,3.7,8.7,12.5,2.3,3.6,1.6,16.0,2012,Belarusian BPL
67,Anton Vashkevich,TM2,20,10.2,5.7,14.6,0.387,0.0,0.2,0.0,4.7,7.1,0.667,4.2,7.5,3.8,6.1,9.9,1.6,0.9,0.7,16.0,2012,Belarusian BPL
68,Pavel Karasevich,RUB,33,15.4,6.4,13.8,0.466,0.4,2.4,0.16,2.3,5.0,0.45299999999999996,3.6,6.9,3.4,6.2,9.7,1.8,1.8,0.4,15.7,2012,Belarusian BPL
69,Andrei Olbrecht,OSI,20,23.0,3.9,10.0,0.39299999999999996,3.0,8.2,0.37,1.6,2.0,0.778,2.0,3.7,0.9,9.2,10.1,3.8,1.0,0.2,15.2,2012,Belarusian BPL
70,Viachaslau Skidan,OSI,33,20.3,6.1,13.3,0.456,0.0,0.7,0.0,2.6,3.4,0.7659999999999999,3.3,6.0,2.6,7.5,10.2,1.7,1.0,0.4,14.8,2012,Belarusian BPL
71,Aliaksei Kachan,RUB,34,16.2,5.1,14.6,0.35100000000000003,1.7,6.5,0.267,2.1,2.5,0.828,2.2,2.7,0.8,4.3,5.0,2.3,2.1,0.1,14.6,2012,Belarusian BPL
72,Pavel Bliznets,SOZ,26,33.4,5.9,14.5,0.40700000000000003,0.0,0.2,0.0,2.5,4.3,0.5820000000000001,4.7,3.9,3.9,11.6,15.5,1.1,1.6,2.1,14.3,2012,Belarusian BPL
73,Kiril Volodkin,IMP,25,15.6,5.0,14.4,0.34700000000000003,3.2,10.3,0.315,0.8,1.2,0.7,5.7,2.8,0.6,5.2,5.8,2.9,2.3,0.5,14.3,2012,Belarusian BPL
74,Yaraslau Kurapau,TM2,28,26.8,5.8,14.5,0.401,0.5,2.6,0.195,2.1,3.1,0.667,2.6,2.9,3.3,5.6,8.9,1.7,1.0,0.6,14.2,2012,Belarusian BPL
75,Tim Evsievich,TM2,1,10.0,4.7,14.2,0.33299999999999996,4.7,14.2,0.33299999999999996,0.0,0.0,0.0,4.7,4.7,4.7,4.7,9.4,0.0,0.0,0.0,14.2,2012,Belarusian BPL
76,Rostislav Vergun,MIN,30,21.5,4.2,11.0,0.385,2.7,8.8,0.314,1.0,1.9,0.52,4.4,3.9,1.7,6.0,7.7,4.7,2.7,0.2,14.1,2012,Belarusian BPL
77,Valentin Ignatchik,MIN,2,17.2,4.2,8.4,0.5,1.4,8.4,0.16699999999999998,1.4,2.8,0.5,1.4,5.6,0.0,1.4,1.4,9.8,1.4,0.0,14.0,2012,Belarusian BPL
78,Mikita Strukau,IMP,31,14.3,4.8,14.3,0.336,0.5,3.9,0.135,3.5,5.4,0.654,5.3,7.7,3.0,3.8,6.8,2.3,2.7,0.3,13.7,2012,Belarusian BPL
79,Tsimafei Viaroukin,RUB,20,7.7,4.9,11.7,0.42100000000000004,1.5,4.6,0.33299999999999996,1.9,3.1,0.6,4.3,2.2,2.8,2.2,4.9,2.8,3.4,0.3,13.3,2012,Belarusian BPL
80,Andrei Rudakov,RUB,3,11.8,6.6,15.9,0.41700000000000004,0.0,1.3,0.0,0.0,8.0,0.0,2.7,8.0,6.6,12.0,18.6,4.0,4.0,0.0,13.3,2012,Belarusian BPL
81,Igor Dovnar,OSI,28,13.6,4.7,11.6,0.40399999999999997,1.8,6.6,0.275,1.0,1.6,0.667,2.7,7.7,2.1,7.5,9.6,1.9,2.2,0.3,13.0,2012,Belarusian BPL
82,Nikolay Fokeev,IMP,28,9.9,4.0,12.4,0.32,2.3,8.4,0.275,2.0,2.8,0.706,4.3,3.3,1.5,5.1,6.6,1.8,3.0,1.0,12.9,2012,Belarusian BPL
83,Maksim Dabravolski,RUB,29,16.8,4.6,13.8,0.331,1.3,5.1,0.255,2.0,2.8,0.7140000000000001,2.3,4.1,1.1,3.3,4.4,2.5,2.2,0.5,12.8,2012,Belarusian BPL
84,Sarhei Goncharenok,TM2,10,7.9,5.4,13.9,0.391,0.6,1.2,0.5,1.2,1.2,1.0,3.6,5.4,5.4,3.6,9.1,1.2,2.4,1.8,12.7,2012,Belarusian BPL
85,Igor Suhinin,G93,2,14.4,3.6,7.3,0.5,1.8,5.4,0.33299999999999996,0.0,0.0,0.0,5.4,1.8,1.8,3.6,5.4,5.4,1.8,0.0,12.7,2012,Belarusian BPL
86,Vladzimir Chernyevitch,OSI,7,5.9,6.3,15.0,0.41700000000000004,0.0,1.3,0.0,0.0,0.0,0.0,5.0,6.3,6.3,5.0,11.3,1.3,12.5,1.3,12.5,2012,Belarusian BPL
87,Dzianis Kasenkau,SOZ,32,18.9,5.3,12.6,0.42100000000000004,0.2,1.2,0.188,1.6,3.0,0.5379999999999999,4.9,3.5,4.2,4.4,8.5,1.7,1.4,0.8,12.5,2012,Belarusian BPL
88,Sergey Bondar,SOZ,17,15.3,5.1,14.0,0.36700000000000005,0.0,0.4,0.0,1.1,2.7,0.4,5.7,8.0,3.5,7.6,11.1,1.1,1.8,0.0,11.3,2012,Belarusian BPL
89,Dmirtiy Fedorovskiy,SOZ,30,27.0,4.6,15.1,0.304,0.5,3.4,0.138,1.3,3.1,0.415,7.4,3.5,2.1,3.9,6.0,1.7,2.3,0.2,11.0,2012,Belarusian BPL
90,Artem Malyavko,TM2,20,12.9,4.2,14.3,0.295,0.9,3.5,0.263,0.5,1.6,0.33299999999999996,4.8,3.8,1.5,6.0,7.5,2.4,0.7,0.4,10.6,2012,Belarusian BPL
91,Nikolay Samusenko,SOZ,21,8.3,4.0,12.8,0.312,1.3,5.6,0.23800000000000002,0.5,1.1,0.5,7.7,5.3,0.8,2.7,3.5,0.5,1.6,0.0,9.8,2012,Belarusian BPL
92,Denis Azaare,IMP,25,16.1,2.9,11.1,0.263,0.4,2.8,0.16,3.5,5.5,0.633,5.6,4.8,2.6,4.6,7.2,2.9,2.1,0.8,9.8,2012,Belarusian BPL
93,Luka Malakhau,TM2,29,15.0,3.0,9.5,0.318,1.5,4.8,0.302,1.7,2.8,0.6,5.6,4.6,0.9,2.3,3.2,3.9,1.5,0.0,9.6,2012,Belarusian BPL
94,Roman Kalenko,IMP,8,3.1,3.7,13.1,0.28600000000000003,1.9,7.5,0.25,0.0,7.5,0.0,0.0,3.7,5.6,5.6,11.2,5.6,3.7,0.0,9.3,2012,Belarusian BPL
95,Anton Korneenkov,TM2,26,14.3,2.9,11.9,0.244,0.5,1.7,0.308,1.3,1.5,0.909,4.9,7.3,2.1,5.8,7.9,1.3,1.6,0.3,7.9,2012,Belarusian BPL
96,Aliaksandr Minayeu,TM2,22,15.9,2.5,11.5,0.22,1.4,7.1,0.196,0.1,0.7,0.2,5.0,7.7,1.1,4.6,5.7,3.9,2.1,0.3,7.7,2012,Belarusian BPL
97,Evgeniy Murashko,IMP,2,35.5,1.9,9.6,0.2,0.0,0.0,0.0,3.8,7.6,0.5,7.6,4.5,0.0,3.2,3.2,3.8,2.5,0.0,7.6,2012,Belarusian BPL
98,Sergei Mazur,OSI,13,5.4,2.8,8.3,0.33299999999999996,0.7,5.5,0.125,1.4,5.5,0.25,9.6,2.8,0.7,8.3,9.0,7.6,1.4,0.0,7.6,2012,Belarusian BPL
99,Vladislav Burnos,SOZ,8,8.3,1.5,12.6,0.11800000000000001,0.7,8.2,0.091,1.5,3.0,0.5,13.4,3.7,0.7,6.7,7.4,1.5,1.5,0.0,6.7,2012,Belarusian BPL
100,Andrei Shestilovskiy,SOZ,32,30.7,2.5,9.4,0.264,0.3,1.9,0.179,0.6,1.1,0.565,8.5,3.1,0.5,2.8,3.3,3.2,2.1,0.0,5.9,2012,Belarusian BPL
101,Nikita Sofaniuk,TM2,8,5.0,1.3,6.3,0.2,0.0,6.3,0.0,2.5,2.5,1.0,5.0,2.5,1.3,0.0,1.3,2.5,1.3,0.0,5.0,2012,Belarusian BPL
102,Pavel Pronin,TM2,20,10.3,1.9,6.2,0.308,0.2,3.3,0.071,0.5,1.0,0.5,7.4,5.2,1.9,5.2,7.2,2.6,1.2,0.0,5.0,2012,Belarusian BPL
103,Artem Senibabnau,IMP,12,6.1,2.5,8.1,0.308,0.0,0.0,0.0,0.0,2.5,0.0,5.6,1.9,1.9,3.1,5.0,3.7,1.9,0.6,5.0,2012,Belarusian BPL
104,Artem Stankevich,SOZ,16,15.1,2.0,9.3,0.213,0.4,2.4,0.16699999999999998,0.6,0.8,0.75,9.7,2.8,1.2,3.4,4.5,1.8,1.0,0.0,4.9,2012,Belarusian BPL
105,Andrei Shemet,SOZ,21,7.4,2.0,10.2,0.2,0.0,0.9,0.0,0.6,2.3,0.25,2.9,3.8,5.0,4.7,9.7,0.3,1.2,0.6,4.7,2012,Belarusian BPL
106,Nikolay Soloviev,RUB,8,7.2,1.7,11.9,0.14300000000000002,0.0,2.5,0.0,0.0,0.0,0.0,2.5,8.5,2.5,5.1,7.6,2.5,2.5,0.0,3.4,2012,Belarusian BPL
107,Ilya Scherba,SOZ,11,8.3,0.5,4.5,0.111,0.0,0.5,0.0,0.5,1.0,0.5,10.0,3.0,0.5,7.0,7.5,4.0,0.5,0.0,1.5,2012,Belarusian BPL
108,Viktor Solianikov,SOZ,14,4.6,0.7,11.9,0.059000000000000004,0.0,0.7,0.0,0.0,1.4,0.0,5.6,3.5,3.5,2.1,5.6,0.0,2.1,0.0,1.4,2012,Belarusian BPL
109,Raman Chernovaev,SOZ,10,5.5,0.0,5.7,0.0,0.0,0.8,0.0,0.0,1.6,0.0,5.7,2.5,4.9,5.7,10.7,0.0,2.5,0.0,0.0,2012,Belarusian BPL
110,Ruslam Rogovets,SOZ,5,3.8,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,2.6,2.6,5.1,7.7,0.0,2.6,0.0,0.0,2012,Belarusian BPL
111,Evgeniy Rybkin,SOZ,2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.6,0.0,0.0,2012,Belarusian BPL
1,Tierre Brown,MIN,6,20.0,11.3,23.0,0.49200000000000005,2.3,3.9,0.6,5.8,6.6,0.882,8.6,4.3,0.8,5.5,6.2,9.0,4.7,0.0,30.8,2013,Belarusian BPL
2,Kiril Sitnik,SOZ,32,31.7,10.7,21.6,0.49700000000000005,3.1,8.5,0.361,5.7,6.9,0.8290000000000001,4.7,3.6,1.4,3.7,5.1,4.7,3.2,0.0,30.3,2013,Belarusian BPL
3,Ronaldas Rutkauskas,TM2,13,36.6,10.5,20.1,0.525,1.4,5.1,0.275,5.4,7.7,0.701,5.1,3.0,5.0,8.2,13.2,2.4,1.8,0.7,27.8,2013,Belarusian BPL
4,Maks Adam Konate,OSI,24,31.6,10.7,22.7,0.47100000000000003,2.2,7.1,0.31,4.2,7.9,0.532,4.3,4.9,4.2,13.4,17.6,2.3,3.1,1.2,27.8,2013,Belarusian BPL
5,Aliaksandr Pustahvar,MIN,6,25.8,9.4,19.0,0.49200000000000005,4.2,10.6,0.4,4.2,5.1,0.8240000000000001,3.3,5.4,3.0,7.6,10.6,3.0,1.8,0.3,27.2,2013,Belarusian BPL
6,Alex Prokopenko,G93,9,6.8,10.3,21.4,0.48100000000000004,4.7,10.3,0.462,1.6,1.6,1.0,4.0,4.0,0.8,6.3,7.1,0.8,2.4,0.0,26.9,2013,Belarusian BPL
7,Dimitri Sivalko,RUB,12,24.3,10.9,25.0,0.435,3.9,11.4,0.34299999999999997,1.1,1.9,0.583,3.6,4.7,2.3,5.7,7.9,0.8,1.9,0.8,26.8,2013,Belarusian BPL
8,Aliaksei Lashkevich,MIN,6,23.7,11.5,18.1,0.636,0.3,0.7,0.5,3.3,4.9,0.667,3.3,4.6,3.9,6.6,10.5,2.3,1.0,1.0,26.6,2013,Belarusian BPL
9,Sergei Miakinin,SOZ,37,25.8,10.8,19.6,0.5489999999999999,1.5,4.2,0.349,3.5,4.9,0.7140000000000001,2.3,3.3,3.6,5.8,9.4,1.4,0.9,1.6,26.5,2013,Belarusian BPL
10,Anton Indrikov,RUB,36,25.8,9.6,19.8,0.483,2.6,8.1,0.325,3.6,4.7,0.7609999999999999,4.6,5.7,3.6,5.7,9.2,3.2,3.6,0.6,25.4,2013,Belarusian BPL
11,Igor Konuyshenko,G93,32,21.9,9.2,19.0,0.485,2.1,5.7,0.366,4.6,5.6,0.825,4.0,5.0,2.0,4.0,6.0,2.6,1.9,0.4,25.0,2013,Belarusian BPL
12,Yuriy Ignatiev,IMP,37,23.5,10.6,21.8,0.485,0.0,0.1,0.0,3.8,7.1,0.534,5.5,7.0,6.7,7.0,13.7,1.1,2.2,0.9,25.0,2013,Belarusian BPL
13,Nikita Sofaniuk,OSI,1,17.5,9.0,30.2,0.3,3.0,3.0,1.0,3.0,6.0,0.5,3.0,6.0,3.0,6.0,9.0,0.0,0.0,0.0,24.1,2013,Belarusian BPL
14,Artem Syrovatko,G93,22,9.5,9.3,15.0,0.615,0.0,0.0,0.0,5.1,11.3,0.449,5.3,11.1,6.3,9.3,15.5,0.7,2.3,2.1,23.6,2013,Belarusian BPL
15,Yauheni Ivanou,G93,11,15.9,9.1,19.9,0.45799999999999996,1.1,3.3,0.33299999999999996,4.2,5.0,0.833,5.3,5.0,3.3,5.3,8.6,3.9,5.3,0.3,23.5,2013,Belarusian BPL
